Time,Low,High,Open,Close,Volume
2015-07-20,277.37,280.0,277.98,280.0,782.88341959
2015-07-21,276.85,281.27,279.96,277.32,4943.55943437
2015-07-22,275.01,278.54,277.33,277.89,4687.90938331
2015-07-23,276.28,279.75,277.96,277.39,5306.91957531
2015-07-24,276.43,291.52,277.23,289.12,7362.46908295
2015-07-25,286.82,291.67,289.12,289.7,4102.45296008
2015-07-26,288.65,294.49,289.68,293.89,3735.24660255
2015-07-27,287.24,297.0,293.88,294.21,6461.0331349
2015-07-28,293.65,298.0,294.22,295.76,5761.8696177
2015-07-29,289.01,296.58,295.74,290.19,5223.50717064
2015-07-30,286.56,291.56,290.26,288.49,5138.98154856
2015-07-31,282.79,290.0,288.49,285.19,5676.61845893
2015-08-01,277.26,285.6,285.2,281.53,3932.44975145
2015-08-02,277.33,282.62,281.53,282.62,3361.0866893
2015-08-03,280.27,285.86,282.62,280.95,4741.72910667
2015-08-04,280.11,286.47,280.95,285.51,5580.22052955
2015-08-05,282.01,286.25,285.6,282.77,5765.48779667
2015-08-06,278.95,282.61,282.44,279.65,5027.85564067
2015-08-07,277.05,281.17,279.37,279.94,5212.45690065
2015-08-08,260.07,280.16,280.06,262.02,6085.44943664
2015-08-09,260.97,268.8,262.02,267.63,5046.97687512
2015-08-10,263.17,268.89,267.6,265.15,5478.58214893
2015-08-11,264.91,271.99,265.15,271.99,5796.14479285
2015-08-12,265.79,272.4,271.99,266.94,6350.25601895
2015-08-13,262.94,267.82,266.81,264.67,5343.42301753
2015-08-14,262.5,267.98,264.48,266.17,6859.07697033
2015-08-15,261.77,267.69,266.21,262.46,4116.06182042
2015-08-16,255.67,263.1,262.45,259.2,5493.63748757
2015-08-17,255.58,261.57,259.2,257.31,6966.79970621
2015-08-18,200.0,258.04,257.56,221.99,11541.79729515
2015-08-19,214.91,238.99,221.99,227.34,13329.69033609
2015-08-20,227.45,238.2,227.46,235.56,8819.52508175
2015-08-21,231.15,236.99,235.56,232.85,8328.5779028
2015-08-22,222.68,235.53,232.85,231.15,7197.34948925
2015-08-23,226.15,233.25,231.16,229.21,4312.6376901
2015-08-24,210.0,229.24,229.23,211.16,16523.78944494
2015-08-25,198.02,229.49,211.16,223.73,19685.20578035
2015-08-26,220.16,231.97,223.73,226.81,9756.26262065
2015-08-27,224.0,229.99,226.72,225.8,7891.14647013
2015-08-28,221.2,236.18,225.62,231.55,9155.34886512
2015-08-29,228.0,233.95,231.55,230.61,4469.25113064
2015-08-30,226.59,233.47,230.61,229.39,4975.99074234
2015-08-31,225.23,233.0,229.4,230.75,6986.51571867
2015-09-01,226.42,233.5,230.76,228.22,8599.28297275
2015-09-02,226.43,231.43,228.22,229.97,7461.09419833
2015-09-03,226.48,230.79,229.95,227.25,6669.72158489
2015-09-04,227.24,232.49,227.24,231.39,7070.63136039
2015-09-05,230.12,237.24,231.43,236.01,5615.31975395
2015-09-06,235.54,244.82,236.17,241.29,5273.5396927
2015-09-07,239.21,242.98,241.26,241.31,4902.58116068
2015-09-08,240.31,247.82,241.31,244.14,8297.98385459
2015-09-09,238.6,244.69,244.24,238.75,6819.43626768
2015-09-10,236.69,241.4,238.74,238.52,5812.39815317
2015-09-11,238.5,241.54,238.55,240.9,5856.64280098
2015-09-12,235.26,241.12,240.9,236.5,5480.20471378
2015-09-13,229.72,236.91,236.5,230.82,5004.42997556
